method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,attack_period_rmse,trust_aware_reconstruction_rmse,raw_observation_rmse,full_rollback_rmse,partial_rollback_rmse
B1_FULL_SHUTDOWN,LIT101_FDI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,68.39999999999999,237.5,0.0,0.0,0.9983333333333334,1.0,0.9895833333333334,0.9947643979057592,7.101884809739256,15.607997159952182,7.852196100966178,0.75877284826567,24.00735809452446,0.7584543217727279,0.75877284826567
B2_RULE_BASED_FALLBACK,LIT101_FDI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,95.0,0.0,0.0,0.9983333333333334,0.6643486599472516,0.9895833333333334,0.7949846465782967,3.9225352410663303,7.926172982341055,4.26679850179678,1.1736019946163423,24.00735809452446,1.173826306233618,1.1736019946163423
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_FDI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,76.0,0.0,0.0,0.9983333333333334,0.6643486599472516,0.9895833333333334,0.7949846465782967,3.7842294310612976,8.50649433174401,4.109018606282737,1.1736019946163423,24.00735809452446,1.173826306233618,1.1736019946163423
B4_WORLD_MODEL_NO_TRUST,LIT101_FDI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93.06000000000002,0.0,70.56,0.0,0.0,0.8606666666666666,0.827563025210084,0.12916666666666668,0.22331673588310758,20.576899871829507,19.42990313225812,22.895066934321733,24.228808074214744,24.00735809452446,24.084446438484868,24.228808074214744
B5_PROPOSED,LIT101_FDI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,83.70000000000002,0.0,0.0,0.9983333333333334,0.6643486599472516,0.9895833333333334,0.7949846465782967,2.1634310714338882,5.457215064377643,2.2190723312940444,1.1736019946163423,24.00735809452446,1.173826306233618,1.1736019946163423
B1_FULL_SHUTDOWN,LIT101_REPLAY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,68.39999999999999,237.5,0.0,0.0,0.9666666666666666,1.0,0.7916666666666667,0.8829477659048498,2.308374846113407,7.332449994240724,2.395093228289466,2.8616528988417627,2.6924790641580687,2.8429264353112367,2.8616528988417627
B2_RULE_BASED_FALLBACK,LIT101_REPLAY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,95.0,0.0,0.0,0.9903333333333334,0.9575363941769318,0.9395833333333334,0.9484706530724717,1.6569661373643765,3.40638474422594,1.5872079749787384,4.1592287236134355,13.719184338064775,4.126644108724645,4.1592287236134355
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,75.97999999999999,0.0,0.0,0.9903333333333334,0.9575363941769318,0.9395833333333334,0.9484706530724717,1.4453541725474635,4.054465047367005,1.309929340156456,4.1592287236134355,13.719184338064775,4.126644108724645,4.1592287236134355
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY,0.0,0.0,0.0,46.8,0.0,46.8,32.6,0.0,20.0,39.8,52.96799999999998,33.432,6.8,0.0,0.0,0.9906666666666668,1.0,0.9416666666666667,0.9699380387805435,31.292505345993682,25.58460455499651,34.8304384865016,39.51195735594989,39.5195573919598,38.865555275812326,39.51195735594989
B5_PROPOSED,LIT101_REPLAY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,74.9,0.0,0.0,0.9903333333333334,0.9575363941769318,0.9395833333333334,0.9484706530724717,1.7352870254504764,3.936806014603379,1.6887565255618207,4.1592287236134355,13.719184338064775,4.126644108724645,4.1592287236134355
B1_FULL_SHUTDOWN,MV101_STUCK_CLOSED,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,68.39999999999999,237.5,0.0,0.0,0.8386666666666667,0.0,0.0,,1.4921913587302629,3.5973485997796777,1.376164906351597,0.1414507799204574,0.11884982497084369,0.20743393548569986,0.1414507799204574
B2_RULE_BASED_FALLBACK,MV101_STUCK_CLOSED,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.528,37.872,95.0,0.0,0.0,0.9726666666666667,0.9709625442018428,0.8333333333333334,0.896864999614037,1.3176974042950858,3.361914892336588,1.1358137354054734,0.4922702787052436,0.11884982497084387,0.5143091296564801,0.4922702787052436
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_CLOSED,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.528,37.872,67.36000000000001,0.0,0.0,0.9726666666666667,0.9709625442018428,0.8333333333333334,0.896864999614037,1.48199763729374,3.3766932364762305,1.3639563993994286,0.4922702787052436,0.11884982497084387,0.5143091296564801,0.4922702787052436
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_CLOSED,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.504,37.896,89.52000000000001,0.0,0.0,0.9730000000000001,0.968757958663924,0.8375,0.8983339261677094,2.955665978833214,6.630433449446841,3.187871793634556,0.4901058880767925,0.11884982497084387,0.5119417665286954,0.4901058880767925
B5_PROPOSED,MV101_STUCK_CLOSED,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.528,37.872,71.62,0.0,0.0,0.9726666666666667,0.9709625442018428,0.8333333333333334,0.896864999614037,2.73871780676453,5.968599674246797,2.9043290660540166,0.4922702787052436,0.11884982497084387,0.5143091296564801,0.4922702787052436
B1_FULL_SHUTDOWN,MV101_STUCK_OPEN,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.14620672679574512,0.0,0.0,106.04399999999995,0.0,205.2,0.0,64.6,0.9893333333333334,0.9553868922764357,0.9791666666666666,0.9671047663435127,1.5341387355235088,4.274948800659546,1.4326271966467963,0.7319160809545289,0.11884982497084369,1.0086470400499583,0.7319160809545289
B2_RULE_BASED_FALLBACK,MV101_STUCK_OPEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,108.04799999999997,0.0,127.8,0.0,32.8,0.9966666666666667,0.9894736842105264,0.9791666666666666,0.9842931937172775,1.3356557184028648,3.374016783725007,1.161403298199609,0.4306108333668145,0.1188498249708437,0.5670581931184684,0.4306108333668145
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_OPEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,108.04799999999997,0.0,109.94000000000001,0.0,32.8,0.9966666666666667,0.9894736842105264,0.9791666666666666,0.9842931937172775,1.1501456536729164,3.2337425055342996,0.8815331367493273,0.4306108333668145,0.1188498249708437,0.5670581931184684,0.4306108333668145
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,116.23199999999997,0.0,127.9,0.0,0.0,0.9966666666666667,0.9894736842105264,0.9791666666666666,0.9842931937172775,1.1118653855600091,2.6576802924502756,0.9308087247735596,0.3989222681416512,0.1188498249708437,0.49728897367094105,0.3989222681416512
B5_PROPOSED,MV101_STUCK_OPEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,137.48399999999998,0.0,166.56,0.0,0.0,0.9956666666666667,0.9813542785535267,0.9791666666666666,0.9802236825533905,1.139632121063055,2.923676512826014,0.8592559974970646,0.30899765460122464,0.11884982497084369,0.3850399575418226,0.30899765460122464
B1_FULL_SHUTDOWN,P101_FORCED_OFF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,68.39999999999999,237.5,0.0,0.0,0.8386666666666667,0.0,0.0,,1.4921913587302629,3.5973485997796777,1.376164906351597,0.1414507799204574,0.11884982497084369,0.20743393548569986,0.1414507799204574
B2_RULE_BASED_FALLBACK,P101_FORCED_OFF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,68.39999999999999,95.0,0.0,0.0,0.9953333333333333,0.9917091698317959,0.9791666666666666,0.9853615021195123,2.5148964523828536,4.913040694166182,2.641060954201428,0.1414507799204574,0.11884982497084369,0.20743393548569986,0.1414507799204574
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.22800000000001,38.17199999999998,98.82000000000002,0.0,0.0,0.9943333333333333,0.9632989340065923,0.9791666666666666,0.9711218067163834,1.8448889859729234,3.5896995815751254,1.8319286963682093,0.5956079642682132,0.11884982497084369,0.6884289383473701,0.5956079642682132
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.264,68.136,55.239999999999995,0.0,0.0,0.9953333333333333,0.9917091698317959,0.9791666666666666,0.9853615021195123,1.2999579084870985,3.089027610747501,1.1940632950165486,0.14109452745381085,0.11884982497084369,0.20701481160677768,0.14109452745381085
B5_PROPOSED,P101_FORCED_OFF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78.06000000000002,8.339999999999975,118.8,0.0,0.0,0.9949999999999999,0.96875,0.96875,0.96875,1.510591395985391,4.186357652736797,1.401853281215286,0.5916926693886084,0.11884982497084369,0.7015421007197867,0.5916926693886084
B1_FULL_SHUTDOWN,normal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6285150226832166,3.7326158798667164,1.5572556882403517,0.5873951595244848,0.11884982497084369,0.663838978091274,0.5873951595244848
B2_RULE_BASED_FALLBACK,normal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6285150226832166,3.7326158798667164,1.5572556882403517,0.5873951595244848,0.11884982497084369,0.663838978091274,0.5873951595244848
B3_ANOMALY_PRIORITY_RECOVERY,normal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6285150226832166,3.7326158798667164,1.5572556882403517,0.5873951595244848,0.11884982497084369,0.663838978091274,0.5873951595244848
B4_WORLD_MODEL_NO_TRUST,normal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.952,0.023999999999998068,69.66,79.6,0.0,0.9993333333333332,0.0,,,1.4704829221827036,3.238188895135111,1.4193685467551538,0.5915521005834209,0.11884982497084369,0.6791428950314597,0.5915521005834209
B5_PROPOSED,normal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0,0.0,1.0,0.0,,,1.6285150226832166,3.7326158798667164,1.5572556882403517,0.5873951595244848,0.11884982497084369,0.663838978091274,0.5873951595244848
