method,attack,tag,precision,recall,f1,tp,fp,fn
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT,LIT101,1.0,0.8958333333333334,0.945054945054945,430,0,50
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT,FIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT,MV101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT,P101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT,P102,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT,PLC1,0.0,,,0,143,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_FDI,LIT101,1.0,0.9895833333333334,0.9947643979057591,475,0,5
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_FDI,FIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_FDI,MV101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_FDI,P101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_FDI,P102,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_FDI,PLC1,0.0,,,0,240,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY,LIT101,1.0,0.9395833333333333,0.9688506981740065,451,0,29
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY,FIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY,MV101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY,P101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY,P102,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_REPLAY,PLC1,0.0,,,0,20,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_CLOSED,LIT101,0.0,,,0,2,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_CLOSED,FIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_CLOSED,MV101,1.0,0.8333333333333334,0.9090909090909091,400,0,80
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_CLOSED,P101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_CLOSED,P102,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_CLOSED,PLC1,0.0,,,0,10,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_OPEN,LIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_OPEN,FIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_OPEN,P101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_OPEN,P102,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,MV101_STUCK_OPEN,PLC1,0.0,,,0,5,0
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF,LIT101,0.0,,,0,7,0
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF,FIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF,MV101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF,P101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF,P102,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,P101_FORCED_OFF,PLC1,0.0,,,0,11,0
B3_ANOMALY_PRIORITY_RECOVERY,normal,LIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,normal,FIT101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,normal,MV101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,normal,P101,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,normal,P102,,,,0,0,0
B3_ANOMALY_PRIORITY_RECOVERY,normal,PLC1,0.0,,,0,15,0
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,LIT101,1.0,0.125,0.2222222222222222,60,0,420
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,FIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,P101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,P102,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,COMBINED_LIT101_FDI_MV101_OPEN,PLC1,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT,LIT101,1.0,0.8916666666666667,0.9427312775330398,428,0,52
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT,FIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT,MV101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT,P101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT,P102,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT,PLC1,0.0,,,0,14,0
B4_WORLD_MODEL_NO_TRUST,LIT101_FDI,LIT101,1.0,0.12916666666666668,0.22878228782287827,62,0,418
B4_WORLD_MODEL_NO_TRUST,LIT101_FDI,FIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_FDI,MV101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_FDI,P101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_FDI,P102,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_FDI,PLC1,0.0,,,0,13,0
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY,LIT101,1.0,0.9416666666666667,0.9699570815450643,452,0,28
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY,FIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY,MV101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY,P101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY,P102,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,LIT101_REPLAY,PLC1,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_CLOSED,LIT101,0.0,,,0,3,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_CLOSED,FIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_CLOSED,MV101,1.0,0.8375,0.9115646258503401,402,0,78
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_CLOSED,P101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_CLOSED,P102,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_CLOSED,PLC1,0.0,,,0,10,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN,LIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN,FIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN,P101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN,P102,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,MV101_STUCK_OPEN,PLC1,0.0,,,0,5,0
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF,LIT101,0.0,,,0,4,0
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF,FIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF,MV101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF,P101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF,P102,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF,PLC1,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,normal,LIT101,0.0,,,0,2,0
B4_WORLD_MODEL_NO_TRUST,normal,FIT101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,normal,MV101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,normal,P101,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,normal,P102,,,,0,0,0
B4_WORLD_MODEL_NO_TRUST,normal,PLC1,0.0,,,0,15,0
B5_PROPOSED,COMBINED_LIT101_FDI_MV101_OPEN,LIT101,1.0,0.9895833333333334,0.9947643979057591,475,0,5
B5_PROPOSED,COMBINED_LIT101_FDI_MV101_OPEN,FIT101,,,,0,0,0
B5_PROPOSED,COMBINED_LIT101_FDI_MV101_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B5_PROPOSED,COMBINED_LIT101_FDI_MV101_OPEN,P101,,,,0,0,0
B5_PROPOSED,COMBINED_LIT101_FDI_MV101_OPEN,P102,,,,0,0,0
B5_PROPOSED,COMBINED_LIT101_FDI_MV101_OPEN,PLC1,,,,0,0,0
B5_PROPOSED,LIT101_DRIFT,LIT101,1.0,0.8958333333333334,0.945054945054945,430,0,50
B5_PROPOSED,LIT101_DRIFT,FIT101,,,,0,0,0
B5_PROPOSED,LIT101_DRIFT,MV101,,,,0,0,0
B5_PROPOSED,LIT101_DRIFT,P101,,,,0,0,0
B5_PROPOSED,LIT101_DRIFT,P102,,,,0,0,0
B5_PROPOSED,LIT101_DRIFT,PLC1,0.0,,,0,143,0
B5_PROPOSED,LIT101_FDI,LIT101,1.0,0.9895833333333334,0.9947643979057591,475,0,5
B5_PROPOSED,LIT101_FDI,FIT101,,,,0,0,0
B5_PROPOSED,LIT101_FDI,MV101,,,,0,0,0
B5_PROPOSED,LIT101_FDI,P101,,,,0,0,0
B5_PROPOSED,LIT101_FDI,P102,,,,0,0,0
B5_PROPOSED,LIT101_FDI,PLC1,0.0,,,0,240,0
B5_PROPOSED,LIT101_REPLAY,LIT101,1.0,0.9395833333333333,0.9688506981740065,451,0,29
B5_PROPOSED,LIT101_REPLAY,FIT101,,,,0,0,0
B5_PROPOSED,LIT101_REPLAY,MV101,,,,0,0,0
B5_PROPOSED,LIT101_REPLAY,P101,,,,0,0,0
B5_PROPOSED,LIT101_REPLAY,P102,,,,0,0,0
B5_PROPOSED,LIT101_REPLAY,PLC1,0.0,,,0,20,0
B5_PROPOSED,MV101_STUCK_CLOSED,LIT101,0.0,,,0,2,0
B5_PROPOSED,MV101_STUCK_CLOSED,FIT101,,,,0,0,0
B5_PROPOSED,MV101_STUCK_CLOSED,MV101,1.0,0.8333333333333334,0.9090909090909091,400,0,80
B5_PROPOSED,MV101_STUCK_CLOSED,P101,,,,0,0,0
B5_PROPOSED,MV101_STUCK_CLOSED,P102,,,,0,0,0
B5_PROPOSED,MV101_STUCK_CLOSED,PLC1,0.0,,,0,10,0
B5_PROPOSED,MV101_STUCK_OPEN,LIT101,0.0,,,0,3,0
B5_PROPOSED,MV101_STUCK_OPEN,FIT101,,,,0,0,0
B5_PROPOSED,MV101_STUCK_OPEN,MV101,1.0,0.9791666666666666,0.9894736842105264,470,0,10
B5_PROPOSED,MV101_STUCK_OPEN,P101,,,,0,0,0
B5_PROPOSED,MV101_STUCK_OPEN,P102,,,,0,0,0
B5_PROPOSED,MV101_STUCK_OPEN,PLC1,0.0,,,0,6,0
B5_PROPOSED,P101_FORCED_OFF,LIT101,,,,0,0,0
B5_PROPOSED,P101_FORCED_OFF,FIT101,,,,0,0,0
B5_PROPOSED,P101_FORCED_OFF,MV101,,,,0,0,0
B5_PROPOSED,P101_FORCED_OFF,P101,1.0,0.96875,0.9841269841269841,465,0,15
B5_PROPOSED,P101_FORCED_OFF,P102,,,,0,0,0
B5_PROPOSED,P101_FORCED_OFF,PLC1,0.0,,,0,15,0
B5_PROPOSED,normal,LIT101,,,,0,0,0
B5_PROPOSED,normal,FIT101,,,,0,0,0
B5_PROPOSED,normal,MV101,,,,0,0,0
B5_PROPOSED,normal,P101,,,,0,0,0
B5_PROPOSED,normal,P102,,,,0,0,0
B5_PROPOSED,normal,PLC1,0.0,,,0,15,0
