attack_id,start_time,end_time,start_index,end_index,target_tags,description,source_file,alignment_status,loaded_start_time,loaded_end_time,original_start_time,original_end_time,exclude_from_eval,duration,alignment_status_detail
23,2015-12-30 01:42:34,01:54:10,639753,640449,"P-602, DIT-301, MV-302",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-30 01:42:34,01:54:10,False,697,inside_loaded_range: clipped_to_loaded_timestamp_range
24,2015-12-30 09:51:08,09:56:28,669067,669387,"P-203, P-205",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-30 09:51:08,09:56:28,False,321,inside_loaded_range: clipped_to_loaded_timestamp_range
25,2015-12-30 10:01:50,10:12:01,669709,670320,"LIT-401, P-401",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-30 10:01:50,10:12:01,False,612,inside_loaded_range: clipped_to_loaded_timestamp_range
26,2015-12-30 17:04:56,17:29:00,695095,696539,"P-101, LIT-301",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-30 17:04:56,17:29:00,False,1445,inside_loaded_range: clipped_to_loaded_timestamp_range
27,2015-12-31 01:17:08,01:45:18,724627,726317,"P-302, LIT-401",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-31 01:17:08,01:45:18,False,1691,inside_loaded_range: clipped_to_loaded_timestamp_range
28,2015-12-31 01:45:19,11:15:27,726318,760526,P-302,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-31 01:45:19,11:15:27,False,34209,inside_loaded_range: clipped_to_loaded_timestamp_range
29,2015-12-31 15:32:00,15:34:00,775919,776039,"P-201, P-203, P-205",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-31 15:32:00,15:34:00,False,121,inside_loaded_range: clipped_to_loaded_timestamp_range
30,2015-12-31 15:47:40,16:07:10,776859,778029,"LIT-101, P-101, MV-201",,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-31 15:47:40,16:07:10,False,1171,inside_loaded_range: clipped_to_loaded_timestamp_range
31,2015-12-31 22:05:34,22:11:40,799452,799818,LIT-401,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-12-31 22:05:34,22:11:40,False,367,inside_loaded_range: clipped_to_loaded_timestamp_range
32,2016-01-01 10:36:00,10:46:00,844478,845078,LIT-301,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2016-01-01 10:36:00,10:46:00,False,601,inside_loaded_range: clipped_to_loaded_timestamp_range
33,2016-01-01 14:21:12,14:28:35,857990,858433,LIT-101,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2016-01-01 14:21:12,14:28:35,False,444,inside_loaded_range: clipped_to_loaded_timestamp_range
34,2016-01-01 17:12:40,17:14:20,868278,868378,P-101,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2016-01-01 17:12:40,17:14:20,False,101,inside_loaded_range: clipped_to_loaded_timestamp_range
35,2016-01-01 17:18:56,17:26:56,868654,869134,P-101; P-102,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2016-01-01 17:18:56,17:26:56,False,481,inside_loaded_range: clipped_to_loaded_timestamp_range
36,2016-01-01 22:16:01,22:25:00,886479,887018,LIT-101,,dataset/SWat/List_of_attacks_Final.xlsx,inside_loaded_range,2015-12-22 16:00:00,2016-01-02 14:59:59,2016-01-01 22:16:01,22:25:00,False,540,inside_loaded_range: clipped_to_loaded_timestamp_range
37,2015-01-02 11:17:02,11:24:50,,,"P-501, FIT-502",,dataset/SWat/List_of_attacks_Final.xlsx,out_of_loaded_range_before,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-01-02 11:17:02,11:24:50,True,0,"out_of_loaded_range_before: original_start=2015-01-02 11:17:02, original_end=2015-01-02 11:24:50"
38,2015-01-02 11:31:38,11:36:18,,,"AIT-402, AIT-502",,dataset/SWat/List_of_attacks_Final.xlsx,out_of_loaded_range_before,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-01-02 11:31:38,11:36:18,True,0,"out_of_loaded_range_before: original_start=2015-01-02 11:31:38, original_end=2015-01-02 11:36:18"
39,2015-01-02 11:43:48,11:50:28,,,"FIT-401, AIT-502",,dataset/SWat/List_of_attacks_Final.xlsx,out_of_loaded_range_before,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-01-02 11:43:48,11:50:28,True,0,"out_of_loaded_range_before: original_start=2015-01-02 11:43:48, original_end=2015-01-02 11:50:28"
40,2015-01-02 11:51:42,11:56:38,,,FIT-401,,dataset/SWat/List_of_attacks_Final.xlsx,out_of_loaded_range_before,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-01-02 11:51:42,11:56:38,True,0,"out_of_loaded_range_before: original_start=2015-01-02 11:51:42, original_end=2015-01-02 11:56:38"
41,2015-01-02 13:13:02,13:40:56,,,LIT-301,,dataset/SWat/List_of_attacks_Final.xlsx,out_of_loaded_range_before,2015-12-22 16:00:00,2016-01-02 14:59:59,2015-01-02 13:13:02,13:40:56,True,0,"out_of_loaded_range_before: original_start=2015-01-02 13:13:02, original_end=2015-01-02 13:40:56"
42,,,,,,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,nan,nan,True,0,could_not_parse_start_or_end_time
43,,,,,,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,nan,nan,True,0,could_not_parse_start_or_end_time
44,Single Stage Single Point Attacks,,,,,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,Single Stage Single Point Attacks,nan,True,0,could_not_parse_start_or_end_time
45,Single Stage Multi Point Attacks,,,,,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,Single Stage Multi Point Attacks,nan,True,0,could_not_parse_start_or_end_time
46,Multi Stage Single Point Attacks,,,,,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,Multi Stage Single Point Attacks,nan,True,0,could_not_parse_start_or_end_time
47,Multi Stage Multi Point Attacks,,,,,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,Multi Stage Multi Point Attacks,nan,True,0,could_not_parse_start_or_end_time
48,,,,,,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,nan,nan,True,0,could_not_parse_start_or_end_time
49,,,,,,,dataset/SWat/List_of_attacks_Final.xlsx,timestamp_parse_failed,2015-12-22 16:00:00,2016-01-02 14:59:59,nan,nan,True,0,could_not_parse_start_or_end_time
